specialist_mode,context_id,method_role,beta,round,actor_sha256,success_rate,fall_rate,success_delta_from_pi0,fall_delta_from_pi0,repair_rate_from_pi0,regression_rate_from_pi0
lateral,L5,control,0.0,3,322dbe2c85882901e36eb4b4f3f937e988131fc3522f45165b2f4e7919bf37db,0.74609375,0.25390625,-0.0234375,0.0234375,0.3050847457627119,0.1218274111675127
lateral,L5,control,0.0,4,322dbe2c85882901e36eb4b4f3f937e988131fc3522f45165b2f4e7919bf37db,0.7265625,0.2734375,-0.04296875,0.04296875,0.3050847457627119,0.14720812182741116
lateral,L5,control,0.0,5,322dbe2c85882901e36eb4b4f3f937e988131fc3522f45165b2f4e7919bf37db,0.734375,0.265625,-0.03515625,0.03515625,0.288135593220339,0.1319796954314721
lateral,L5,control,0.0,6,322dbe2c85882901e36eb4b4f3f937e988131fc3522f45165b2f4e7919bf37db,0.76171875,0.23828125,-0.0078125,0.0078125,0.2711864406779661,0.09137055837563451
lateral,L5,control,0.0,7,322dbe2c85882901e36eb4b4f3f937e988131fc3522f45165b2f4e7919bf37db,0.74609375,0.25390625,-0.0234375,0.0234375,0.3050847457627119,0.1218274111675127
lateral,L5,control,0.0,8,8d1e4a944b56bb7f8672f656f9c903e8ab20839c2b5a55e0a69e6d6b77988544,0.74609375,0.25390625,-0.0234375,0.0234375,0.2711864406779661,0.1116751269035533
lateral,L5,v21,0.0,0,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,0.70703125,0.29296875,0.0,0.0,0.0,0.0
lateral,L5,v21,0.0,1,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,0.7734375,0.2265625,0.06640625,-0.06640625,0.44,0.08839779005524862
lateral,L5,v21,0.0,2,33732268354d1091b56e2aa8a5b8fe5ee194e127df52baa9048e810ac4319bd5,0.76171875,0.23828125,0.0546875,-0.0546875,0.4266666666666667,0.09944751381215469
lateral,L5,v21,0.0,3,1328be2708fb72711ea798e94219c89ce12c037497dc81d11ddf897172c0956f,0.7421875,0.2578125,0.03515625,-0.03515625,0.44,0.13259668508287292
lateral,L5,v21,0.0,4,1328be2708fb72711ea798e94219c89ce12c037497dc81d11ddf897172c0956f,0.72265625,0.27734375,0.015625,-0.015625,0.4,0.143646408839779
lateral,L5,v21,0.0,5,a84e3a4e9573b725157e1d5bcea97d0466210359a53bcd9a876072031a51aa98,0.765625,0.234375,0.05859375,-0.05859375,0.4266666666666667,0.09392265193370165
lateral,L5,v21,0.0,6,c9fc9fc4615d2b26cc54e0be6f44a346fa0b6472758893bcc71daf63ba223ceb,0.7265625,0.2734375,0.01953125,-0.01953125,0.36,0.12154696132596685
lateral,L5,v21,0.0,7,c9fc9fc4615d2b26cc54e0be6f44a346fa0b6472758893bcc71daf63ba223ceb,0.76171875,0.23828125,0.0546875,-0.0546875,0.4266666666666667,0.09944751381215469
lateral,L5,v21,0.0,8,c9fc9fc4615d2b26cc54e0be6f44a346fa0b6472758893bcc71daf63ba223ceb,0.7421875,0.2578125,0.03515625,-0.03515625,0.38666666666666666,0.11049723756906077
contact_stability,C1,control,0.0,0,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,0.828125,0.171875,0.0,0.0,0.0,0.0
contact_stability,C1,control,0.0,1,2ed296f52c87a853a907019006d3d8cd4c94e602c4427f81d859804688de2502,0.796875,0.203125,-0.03125,0.03125,0.06818181818181818,0.05188679245283019
contact_stability,C1,control,0.0,2,da4c534babb51a92cad5e97841b61833156074faedf0883ffc2ddfa48149f0a3,0.79296875,0.20703125,-0.03515625,0.03515625,0.09090909090909091,0.06132075471698113
contact_stability,C1,control,0.0,3,da4c534babb51a92cad5e97841b61833156074faedf0883ffc2ddfa48149f0a3,0.78515625,0.21484375,-0.04296875,0.04296875,0.09090909090909091,0.07075471698113207
contact_stability,C1,control,0.0,4,da4c534babb51a92cad5e97841b61833156074faedf0883ffc2ddfa48149f0a3,0.80078125,0.19921875,-0.02734375,0.02734375,0.09090909090909091,0.05188679245283019
contact_stability,C1,control,0.0,5,da4c534babb51a92cad5e97841b61833156074faedf0883ffc2ddfa48149f0a3,0.80859375,0.19140625,-0.01953125,0.01953125,0.1590909090909091,0.05660377358490566
contact_stability,C1,control,0.0,6,da4c534babb51a92cad5e97841b61833156074faedf0883ffc2ddfa48149f0a3,0.77734375,0.22265625,-0.05078125,0.05078125,0.13636363636363635,0.08962264150943396
contact_stability,C1,control,0.0,7,da4c534babb51a92cad5e97841b61833156074faedf0883ffc2ddfa48149f0a3,0.82421875,0.17578125,-0.00390625,0.00390625,0.1590909090909091,0.03773584905660377
contact_stability,C1,control,0.0,8,43ba44cff964b8060334193cee068251f14a89f91930b84c6d439a37cd40e95b,0.796875,0.203125,-0.03125,0.03125,0.18181818181818182,0.07547169811320754
contact_stability,C1,v21,0.0,0,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,0.80859375,0.19140625,0.0,0.0,0.0,0.0
contact_stability,C1,v21,0.0,1,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,0.828125,0.171875,0.01953125,-0.01953125,0.22448979591836735,0.028985507246376812
contact_stability,C1,v21,0.0,2,51662f463a28acde8b9d885387d0705e615e002c5f8ee068d5fd1ea65e6914d8,0.78515625,0.21484375,-0.0234375,0.0234375,0.12244897959183673,0.057971014492753624
contact_stability,C1,v21,0.0,3,885a21184038e62da31cb4c7b556eb61ee2b903f47501b2e9d7aae0019095d74,0.7734375,0.2265625,-0.03515625,0.03515625,0.08163265306122448,0.06280193236714976
contact_stability,C1,v21,0.0,4,f957206caebd470e828e73782a7d097ca3c05d931e7f2187fffa51b224b67c89,0.7734375,0.2265625,-0.03515625,0.03515625,0.08163265306122448,0.06280193236714976
contact_stability,C1,v21,0.0,5,f957206caebd470e828e73782a7d097ca3c05d931e7f2187fffa51b224b67c89,0.78125,0.21875,-0.02734375,0.02734375,0.14285714285714285,0.06763285024154589
contact_stability,C1,v21,0.0,6,b345aa7a6a2c1de9fef8778293f00f0105ca9b50dc4ff211baee31716d440bc3,0.80859375,0.19140625,0.0,0.0,0.1836734693877551,0.043478260869565216
contact_stability,C1,v21,0.0,7,b345aa7a6a2c1de9fef8778293f00f0105ca9b50dc4ff211baee31716d440bc3,0.8203125,0.1796875,0.01171875,-0.01171875,0.24489795918367346,0.043478260869565216
contact_stability,C1,v21,0.0,8,b345aa7a6a2c1de9fef8778293f00f0105ca9b50dc4ff211baee31716d440bc3,0.7890625,0.2109375,-0.01953125,0.01953125,0.14285714285714285,0.057971014492753624
contact_stability,C2,control,0.0,0,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,0.79296875,0.20703125,0.0,0.0,0.0,0.0
contact_stability,C2,control,0.0,1,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,0.79296875,0.20703125,0.0,0.0,0.22641509433962265,0.059113300492610835
contact_stability,C2,control,0.0,2,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,0.8203125,0.1796875,0.02734375,-0.02734375,0.3018867924528302,0.04433497536945813
contact_stability,C2,control,0.0,3,4d8a5d5f87de97ecb4c827b69db48024477be8c7d12ff28501a3efa7a0a2fb1f,0.76953125,0.23046875,-0.0234375,0.0234375,0.07547169811320754,0.04926108374384237
contact_stability,C2,control,0.0,4,4da2908659ff45e7782395607f9ff8c6d60273cb142dfd49d100303ac1559ae7,0.74609375,0.25390625,-0.046875,0.046875,0.07547169811320754,0.07881773399014778
contact_stability,C2,control,0.0,5,021c9a23ff9df3b31722b2105d622ddf3ce34c6624a7dcfc129a31ea41e05a20,0.796875,0.203125,0.00390625,-0.00390625,0.1320754716981132,0.029556650246305417
contact_stability,C2,control,0.0,6,021c9a23ff9df3b31722b2105d622ddf3ce34c6624a7dcfc129a31ea41e05a20,0.703125,0.29296875,-0.08984375,0.0859375,0.018867924528301886,0.11822660098522167
contact_stability,C2,control,0.0,7,021c9a23ff9df3b31722b2105d622ddf3ce34c6624a7dcfc129a31ea41e05a20,0.7890625,0.2109375,-0.00390625,0.00390625,0.09433962264150944,0.029556650246305417
contact_stability,C2,control,0.0,8,021c9a23ff9df3b31722b2105d622ddf3ce34c6624a7dcfc129a31ea41e05a20,0.78125,0.21875,-0.01171875,0.01171875,0.1320754716981132,0.04926108374384237
contact_stability,C2,v21,0.0,0,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,0.7578125,0.2421875,0.0,0.0,0.0,0.0
contact_stability,C2,v21,0.0,1,11f1ffd8c50a200f9dd7480d1d715e2563651a02f519040990d8aa1e2335ab02,0.796875,0.203125,0.0390625,-0.0390625,0.2903225806451613,0.041237113402061855
contact_stability,C2,v21,0.0,2,11f1ffd8c50a200f9dd7480d1d715e2563651a02f519040990d8aa1e2335ab02,0.7421875,0.2578125,-0.015625,0.015625,0.14516129032258066,0.06701030927835051
contact_stability,C2,v21,0.0,3,11f1ffd8c50a200f9dd7480d1d715e2563651a02f519040990d8aa1e2335ab02,0.73828125,0.26171875,-0.01953125,0.01953125,0.11290322580645161,0.061855670103092786
contact_stability,C2,v21,0.0,4,b708aa8a3c3eb5e81f534cea90b70f27b1ebd557590de300ba92216ca08df75f,0.7578125,0.2421875,0.0,0.0,0.14516129032258066,0.04639175257731959
contact_stability,C2,v21,0.0,5,a0c61cecf55bf70ed25f576d804e0c8ae0c56bcb08a9bd6f75539401789a040a,0.76171875,0.23828125,0.00390625,-0.00390625,0.20967741935483872,0.061855670103092786
contact_stability,C2,v21,0.0,6,a0c61cecf55bf70ed25f576d804e0c8ae0c56bcb08a9bd6f75539401789a040a,0.78125,0.21875,0.0234375,-0.0234375,0.25806451612903225,0.05154639175257732
contact_stability,C2,v21,0.0,7,a0c61cecf55bf70ed25f576d804e0c8ae0c56bcb08a9bd6f75539401789a040a,0.76953125,0.23046875,0.01171875,-0.01171875,0.24193548387096775,0.061855670103092786
contact_stability,C2,v21,0.0,8,a0c61cecf55bf70ed25f576d804e0c8ae0c56bcb08a9bd6f75539401789a040a,0.80078125,0.19921875,0.04296875,-0.04296875,0.2903225806451613,0.03608247422680412
contact_stability,C3,control,0.0,0,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,0.78515625,0.21484375,0.0,0.0,0.0,0.0
contact_stability,C3,control,0.0,1,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,0.81640625,0.18359375,0.03125,-0.03125,0.16363636363636364,0.004975124378109453
contact_stability,C3,control,0.0,2,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,0.76953125,0.23046875,-0.015625,0.015625,0.09090909090909091,0.04477611940298507
contact_stability,C3,control,0.0,3,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,0.78125,0.21875,-0.00390625,0.00390625,0.07272727272727272,0.024875621890547265
contact_stability,C3,control,0.0,4,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,0.80078125,0.19921875,0.015625,-0.015625,0.12727272727272726,0.014925373134328358
contact_stability,C3,control,0.0,5,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,0.75,0.25,-0.03515625,0.03515625,0.01818181818181818,0.04975124378109453
contact_stability,C3,control,0.0,6,48d2c028f5988330c311d78149fa75844801df82bf88377e8b7113921b2548eb,0.765625,0.234375,-0.01953125,0.01953125,0.07272727272727272,0.04477611940298507
contact_stability,C3,control,0.0,7,48d2c028f5988330c311d78149fa75844801df82bf88377e8b7113921b2548eb,0.8203125,0.1796875,0.03515625,-0.03515625,0.18181818181818182,0.004975124378109453
contact_stability,C3,control,0.0,8,48d2c028f5988330c311d78149fa75844801df82bf88377e8b7113921b2548eb,0.83203125,0.16796875,0.046875,-0.046875,0.21818181818181817,0.0
contact_stability,C3,v21,0.0,0,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,0.76953125,0.23046875,0.0,0.0,0.0,0.0
contact_stability,C3,v21,0.0,1,43221c5084ebe5bcf89a25a259ea7fcba1a207572379e34a562f590b34f1323a,0.7578125,0.2421875,-0.01171875,0.01171875,0.06779661016949153,0.03553299492385787
contact_stability,C3,v21,0.0,2,43221c5084ebe5bcf89a25a259ea7fcba1a207572379e34a562f590b34f1323a,0.80078125,0.19921875,0.03125,-0.03125,0.23728813559322035,0.030456852791878174
