context_id,specialist_mode,policy_role,evaluation_seed,environment_id,telemetry_rows,episode_steps,success,fell,failure_type,same_rollout_outcome_bound,abs_centerline_error_mean,abs_centerline_error_max,abs_heading_error_mean,abs_heading_error_max,abs_centerline_error_rate_mean,abs_centerline_error_rate_max,abs_heading_error_rate_mean,abs_heading_error_rate_max,command_vy_mean,command_vy_max,command_wz_mean,command_wz_max,cbf_correction_norm_mean,cbf_correction_norm_max,maximum_slip_speed_mean,maximum_slip_speed_max,contact_phase_mismatch_mean,contact_phase_mismatch_max,abs_roll_rad_mean,abs_roll_rad_max,abs_pitch_rad_mean,abs_pitch_rad_max,angular_velocity_norm_mean,angular_velocity_norm_max
C5,contact_stability,base,79190006,0,711,711,1,0,success,True,,,,,,,,,,,,,0.004028710787709302,0.48065292835235596,0.21898834160384992,2.0,0.12517580872011252,1.0,0.05490307017577579,0.20773503184318542,0.128576373144606,0.38273850083351135,1.9940264918716983,4.786996364593506
C5,contact_stability,base,79190007,0,768,768,1,0,success,True,,,,,,,,,,,,,0.008921298678020355,0.5347867608070374,0.2158265747959073,2.0,0.12109375,1.0,0.05464315337558797,0.20139308273792267,0.12688322735716187,0.35707399249076843,1.9790877574511494,4.794802188873291
C5,contact_stability,control,79190000,0,541,541,0,1,contact_stability,True,,,,,,,,,,,,,0.009099075958381272,0.6587643027305603,0.22307115479143486,2.0,0.12939001848428835,1.0,0.06477443599149411,0.7225275635719299,0.13408322762026847,1.021749496459961,2.082396206816111,6.738605976104736
C5,contact_stability,control,79190001,0,802,802,1,0,success,True,,,,,,,,,,,,,0.007654374412585889,0.6362370848655701,0.2121128592735384,2.0,0.14027431421446385,1.0,0.055745770812161616,0.2483605146408081,0.12816838352000948,0.3734816312789917,1.9865389720088527,5.101272106170654
C5,contact_stability,control,79190002,0,792,792,1,0,success,True,,,,,,,,,,,,,0.009347512051244906,0.6497009992599487,0.23220442871726588,2.0,0.12184343434343434,1.0,0.0617058901246934,0.23231227695941925,0.12946583348237106,0.4200301766395569,2.048479956057337,5.746596813201904
C5,contact_stability,control,79190003,0,137,137,0,1,contact_stability,True,,,,,,,,,,,,,0.00897919172921077,0.45116621255874634,0.17253410556594956,1.3536927700042725,0.21897810218978103,1.0,0.06500523864459258,0.7379084825515747,0.1302028778738835,0.9652906060218811,1.9810416535304411,8.499727249145508
C5,contact_stability,control,79190004,0,757,757,1,0,success,True,,,,,,,,,,,,,0.0062045519466203455,0.4308902323246002,0.22243062475020475,2.0,0.12351387054161163,1.0,0.05526821408857122,0.23149821162223816,0.12697299027472644,0.3590478003025055,1.9902898466886272,4.829293251037598
C5,contact_stability,control,79190005,0,677,677,1,0,success,True,,,,,,,,,,,,,0.004941912761389182,0.566871702671051,0.2114780895177934,2.0,0.10782865583456426,1.0,0.06247168087652707,0.21166662871837616,0.13099304722285404,0.37328076362609863,2.126304571042209,4.6590576171875
C5,contact_stability,control,79190006,0,668,668,1,0,success,True,,,,,,,,,,,,,0.005382034444775852,0.551838755607605,0.219763913652288,2.0,0.10479041916167664,1.0,0.06063889660160559,0.21432143449783325,0.1279843559237098,0.3872360587120056,2.0809361592916673,4.333948135375977
C5,contact_stability,control,79190007,0,752,752,1,0,success,True,,,,,,,,,,,,,0.006600923045259957,0.5383174419403076,0.21160904118671092,2.0,0.12234042553191489,1.0,0.054168892761771836,0.2075498253107071,0.12601168626340492,0.3641248345375061,1.9805801355854629,4.573019027709961
C5,contact_stability,v21,79190000,0,297,297,0,1,contact_stability,True,,,,,,,,,,,,,0.006406309056969814,0.4892944395542145,0.22259223314044488,2.0,0.19528619528619529,1.0,0.09344978596293882,0.9165703654289246,0.11922061729153516,0.7380866408348083,2.063133176654477,10.280863761901855
C5,contact_stability,v21,79190001,0,736,736,1,0,success,True,,,,,,,,,,,,,0.004941018689168915,0.5968486070632935,0.21151636340318478,2.0,0.10529891304347826,1.0,0.05225306424035199,0.181172713637352,0.1274022018144038,0.3631284236907959,1.9743531839112225,4.9213128089904785
C5,contact_stability,v21,79190002,0,771,771,1,0,success,True,,,,,,,,,,,,,0.006431849451766098,0.5501335263252258,0.22979682113766312,2.0,0.12127107652399481,1.0,0.05236444690891857,0.20862169563770294,0.12831750330713007,0.3595590889453888,1.9719934784330129,4.686761379241943
C5,contact_stability,v21,79190003,0,138,138,0,1,contact_stability,True,,,,,,,,,,,,,0.03302731213172518,0.7416539788246155,0.16691808769330924,1.4078954458236694,0.2028985507246377,1.0,0.07177200329415911,0.9137758612632751,0.13110842910149517,0.8268426060676575,2.042234107851982,7.811319828033447
C5,contact_stability,v21,79190004,0,617,617,0,1,contact_stability,True,,,,,,,,,,,,,0.00982056659219711,0.9522663354873657,0.226249376279634,2.0,0.14019448946515398,1.0,0.06439419390881239,0.8350287079811096,0.12989602010372425,0.826438844203949,2.0569005318263747,7.851187229156494
C5,contact_stability,v21,79190005,0,856,856,1,0,success,True,,,,,,,,,,,,,0.00558243657657079,0.5987563133239746,0.2188890526347541,2.0,0.13317757009345793,1.0,0.056879187892263754,0.370381623506546,0.1283647182693189,0.3426728844642639,1.9822252333582004,5.587855815887451
C5,contact_stability,v21,79190006,0,737,737,1,0,success,True,,,,,,,,,,,,,0.004851877550514588,0.7744579911231995,0.22945977128906936,2.0,0.1322930800542741,1.0,0.0620525709190351,0.24801290035247803,0.1310148004691122,0.3789690136909485,2.0729723712239854,5.428928375244141
C5,contact_stability,v21,79190007,0,749,749,1,0,success,True,,,,,,,,,,,,,0.007027135182834137,0.6575657725334167,0.2179620040778645,2.0,0.12016021361815754,1.0,0.05361719021529344,0.21285052597522736,0.12674306091539628,0.3622848689556122,2.012352961047151,5.127872467041016
L1,lateral,base,79100000,0,300,300,0,1,lateral_heading_drift,True,0.4612926569976359,1.5241421461105347,0.623544546465079,1.2757444381713867,0.3213793005235493,1.0421082973480225,1.2169166832976044,3.9384543895721436,0.07877889427977304,0.24342121183872223,0.0831527506870528,0.4654313325881958,0.07032949178481938,1.1443700790405273,,,,,,,,,,
L1,lateral,base,79100001,0,386,386,1,0,success,True,0.425353472656691,1.0193794965744019,0.85719108395761,1.437477707862854,0.19102508563142984,0.6683856248855591,1.106052048518829,4.111451148986816,-0.11018882178848638,0.012773126363754272,-0.48334189624298807,0.0,0.0017279545546239781,0.24698518216609955,,,,,,,,,,
L1,lateral,base,79100002,0,414,414,0,1,lateral_heading_drift,True,0.4277271432650938,1.4762252569198608,0.925354380098707,1.9143316745758057,0.23891238142074883,1.753091812133789,1.2020738018082753,4.716605186462402,-0.12202465663954237,0.018924277275800705,-0.4571971194976086,0.0,0.0020140835933831775,0.18839605152606964,,,,,,,,,,
