domain,pair_index,evaluation_seed,environment_id,baseline_success,final_success,baseline_fell,final_fell,baseline_timed_out,final_timed_out,baseline_return,final_return,baseline_intervention_per_riser,final_intervention_per_riser
target,49,125000000,49,False,False,True,True,False,False,-0.6536309719085693,-0.3931417465209961,0.800000011920929,0.2222222238779068
target,50,125000000,50,False,False,True,True,False,False,-0.3246443271636963,-1.8967924118041992,0.0,1.875
target,51,125000000,51,False,True,True,False,False,False,0.6401739120483398,10.77761459350586,1.2000000476837158,0.3333333432674408
target,52,125000000,52,True,True,False,False,False,False,9.886702537536621,8.844118118286133,0.2222222238779068,0.2222222238779068
target,53,125000000,53,False,True,True,False,False,False,-3.2773232460021973,11.47244644165039,1.7777777910232544,1.6666666269302368
target,54,125000000,54,False,False,True,True,False,False,-1.724229335784912,-2.0237345695495605,2.799999952316284,0.5555555820465088
target,55,125000000,55,True,True,False,False,False,False,10.028493881225586,9.955415725708008,0.3333333432674408,0.3333333432674408
target,56,125000000,56,True,True,False,False,False,False,8.358983039855957,8.513975143432617,0.1111111119389534,0.0
target,57,125000000,57,True,True,False,False,False,False,9.30984115600586,10.861639022827148,1.1111111640930176,0.6666666865348816
target,58,125000000,58,False,False,True,True,False,False,-0.01746225357055664,-1.337660551071167,1.3333333730697632,3.222222328186035
target,59,125000000,59,False,False,True,True,False,False,-4.431465148925781,-5.365029811859131,2.1666667461395264,2.5
target,60,125000000,60,False,True,True,False,False,False,-2.7393152713775635,8.654125213623047,0.6666666865348816,0.2222222238779068
target,61,125000000,61,True,True,False,False,False,False,11.047618865966797,10.74512767791748,0.3333333432674408,0.2222222238779068
target,62,125000000,62,True,True,False,False,False,False,10.137361526489258,10.096586227416992,0.3333333432674408,0.5555555820465088
target,63,125000000,63,True,True,False,False,False,False,8.741092681884766,10.61903190612793,0.1111111119389534,0.5555555820465088
target,64,125000000,64,True,False,False,True,False,False,9.243818283081055,-5.283912181854248,0.1111111119389534,2.222222328186035
target,65,125000000,65,False,True,True,False,False,False,-0.11343812942504883,9.7938814163208,0.2222222238779068,0.7777777910232544
target,66,125000000,66,True,True,False,False,False,False,11.07166862487793,9.608543395996094,0.6666666865348816,0.7777777910232544
target,67,125000000,67,True,True,False,False,False,False,10.39007568359375,8.544393539428711,0.6666666865348816,0.1111111119389534
target,68,125000000,68,True,True,False,False,False,False,8.98155403137207,8.569381713867188,0.0,0.3333333432674408
target,69,125000000,69,False,True,True,False,False,False,0.7110686302185059,10.475305557250977,1.4444444179534912,1.1111111640930176
target,70,125000000,70,True,True,False,False,False,False,9.481295585632324,8.408113479614258,0.1111111119389534,0.3333333432674408
target,71,125000000,71,True,True,False,False,False,False,8.580702781677246,9.457347869873047,0.3333333432674408,0.5555555820465088
target,72,125000000,72,False,True,True,False,False,False,-0.8543367385864258,9.435288429260254,1.571428656578064,0.3333333432674408
target,73,125000000,73,True,True,False,False,False,False,9.621244430541992,9.208189010620117,0.5555555820465088,0.3333333432674408
target,74,125000000,74,True,True,False,False,False,False,9.756834030151367,10.750507354736328,0.2222222238779068,0.7777777910232544
target,75,125000000,75,True,True,False,False,False,False,11.592507362365723,10.323247909545898,0.8888888955116272,0.3333333432674408
target,76,125000000,76,False,False,True,True,False,False,-0.504866361618042,-2.3535494804382324,1.1111111640930176,3.142857313156128
target,77,125000000,77,False,True,True,False,False,False,-2.9456074237823486,9.39511489868164,0.5555555820465088,0.0
target,78,125000000,78,True,True,False,False,False,False,10.843730926513672,10.774187088012695,0.7777777910232544,1.0
target,79,125000000,79,True,False,False,True,False,False,7.552335262298584,-0.8519837856292725,0.1111111119389534,1.0
target,80,125000000,80,False,False,True,True,False,False,-4.024436950683594,-2.3368477821350098,4.0,1.0
target,81,125000000,81,True,True,False,False,False,False,8.15855598449707,9.0828218460083,0.0,0.4444444477558136
target,82,125000000,82,True,False,False,True,False,False,11.107376098632812,0.17933988571166992,0.3333333432674408,0.4444444477558136
target,83,125000000,83,False,False,True,True,False,False,-2.5392141342163086,-6.018918514251709,0.1111111119389534,2.2857143878936768
target,84,125000000,84,True,True,False,False,False,False,10.402162551879883,10.019275665283203,0.7777777910232544,1.0
target,85,125000000,85,False,True,True,False,False,False,-0.5348014831542969,8.613697052001953,1.0,0.5555555820465088
target,86,125000000,86,False,True,True,False,False,False,-0.5373411178588867,10.545294761657715,2.0,1.1111111640930176
target,87,125000000,87,False,False,True,True,False,False,-5.572630882263184,-1.9130876064300537,3.5,0.1111111119389534
target,88,125000000,88,True,False,False,True,False,False,9.66996955871582,0.012120246887207031,0.4444444477558136,0.4444444477558136
target,89,125000000,89,False,False,True,True,False,False,-0.8802733421325684,-1.8827407360076904,0.5555555820465088,1.2222222089767456
target,90,125000000,90,True,True,False,False,False,False,11.22866439819336,10.053421974182129,0.2222222238779068,0.0
target,91,125000000,91,False,True,True,False,False,False,-1.3550658226013184,10.27993106842041,0.4444444477558136,0.1111111119389534
target,92,125000000,92,False,True,True,False,False,False,-1.195042371749878,9.733155250549316,0.6666666865348816,0.6666666865348816
target,93,125000000,93,True,True,False,False,False,False,10.361064910888672,10.391186714172363,0.0,0.1111111119389534
target,94,125000000,94,True,True,False,False,False,False,9.721549987792969,10.221450805664062,0.1111111119389534,1.1111111640930176
target,95,125000000,95,True,True,False,False,False,False,8.637048721313477,10.151885986328125,0.2222222238779068,1.1111111640930176
target,96,125000000,96,True,True,False,False,False,False,10.178390502929688,10.050045013427734,0.1111111119389534,0.1111111119389534
target,97,125000000,97,True,False,False,True,False,False,10.937509536743164,-2.0952210426330566,0.3333333432674408,2.0
target,98,125000000,98,True,True,False,False,False,False,9.598764419555664,10.450300216674805,0.1111111119389534,0.1111111119389534
target,99,125000000,99,False,True,True,False,False,False,-0.9613370895385742,8.70297622680664,0.3333333432674408,0.4444444477558136
target,100,125000000,100,True,True,False,False,False,False,10.64171314239502,8.98307991027832,0.3333333432674408,0.1111111119389534
target,101,125000000,101,True,False,False,True,False,False,9.355239868164062,-0.46691060066223145,1.7777777910232544,0.7777777910232544
target,102,125000000,102,True,False,False,True,False,False,11.74921989440918,0.0595850944519043,1.3333333730697632,1.75
target,103,125000000,103,True,True,False,False,False,False,11.157816886901855,11.538148880004883,0.3333333432674408,0.7777777910232544
target,104,125000000,104,False,False,True,True,False,False,-1.0080151557922363,-3.277594566345215,1.5,2.8333334922790527
target,105,125000000,105,True,True,False,False,False,False,9.161352157592773,12.73725414276123,0.8888888955116272,1.7777777910232544
target,106,125000000,106,False,True,True,False,False,False,-3.0122439861297607,12.636428833007812,2.375,1.5555555820465088
target,107,125000000,107,True,True,False,False,False,False,9.193690299987793,11.148752212524414,0.6666666865348816,0.7777777910232544
target,108,125000000,108,False,False,True,True,False,False,0.35693836212158203,-1.6768622398376465,2.375,3.0
target,109,125000000,109,True,False,False,True,False,False,10.069135665893555,-1.2965939044952393,0.5555555820465088,2.375
target,110,125000000,110,False,True,True,False,False,False,-0.6741290092468262,10.402219772338867,0.3333333432674408,0.3333333432674408
target,111,125000000,111,True,True,False,False,False,False,10.43756103515625,10.798497200012207,0.5555555820465088,1.4444444179534912
