arm,context,training_seed,round,online_transitions,round_transition_count,round_falls,cumulative_falls,round_shield_recoveries,cumulative_shield_recoveries,round_nominal_violation_count,round_nominal_violation_fraction,cumulative_nominal_violation_fraction,round_executed_violation_count,round_executed_violation_fraction,cumulative_executed_violation_fraction,round_minimum_nominal_barrier_margin,round_minimum_executed_barrier_margin
filter_only_ft,F2,201357002,3,393216,131072,84,228,12770,38454,12770,0.0974273681640625,0.09781138102213542,0,0.0,1.7801920572916668e-05,-101.06080627441406,-9.775161743164062e-06
filter_only_ft,F2,201357002,4,524288,131072,77,305,12612,51066,12613,0.09622955322265625,0.09741592407226562,1,7.62939453125e-06,1.52587890625e-05,-123.52371978759766,-1.436471939086914e-05
filter_only_ft,F3,201357000,1,131072,131072,75,75,12473,12473,12473,0.09516143798828125,0.09516143798828125,0,0.0,0.0,-88.44983673095703,-7.62939453125e-06
filter_only_ft,F3,201357000,2,262144,131072,79,154,12488,24961,12489,0.09528350830078125,0.09522247314453125,1,7.62939453125e-06,3.814697265625e-06,-91.955322265625,-1.1429190635681152e-05
filter_only_ft,F3,201357000,3,393216,131072,78,232,12561,37522,12565,0.09586334228515625,0.09543609619140625,4,3.0517578125e-05,1.2715657552083334e-05,-142.13119506835938,-1.8075108528137207e-05
filter_only_ft,F3,201357000,4,524288,131072,82,314,12650,50172,12652,0.096527099609375,0.09570884704589844,2,1.52587890625e-05,1.33514404296875e-05,-99.60353088378906,-1.074373722076416e-05
filter_only_ft,F3,201357001,1,131072,131072,71,71,12320,12320,12322,0.0940093994140625,0.0940093994140625,2,1.52587890625e-05,1.52587890625e-05,-78.4375991821289,-1.1675059795379639e-05
filter_only_ft,F3,201357001,2,262144,131072,69,140,12467,24787,12468,0.095123291015625,0.09456634521484375,1,7.62939453125e-06,1.1444091796875e-05,-106.8105697631836,-1.049041748046875e-05
filter_only_ft,F3,201357001,3,393216,131072,83,223,12537,37324,12541,0.09568023681640625,0.09493764241536458,4,3.0517578125e-05,1.7801920572916668e-05,-109.73441314697266,-1.7076730728149414e-05
filter_only_ft,F3,201357001,4,524288,131072,82,305,12875,50199,12878,0.0982513427734375,0.09576606750488281,3,2.288818359375e-05,1.9073486328125e-05,-118.33903503417969,-1.1205673217773438e-05
filter_only_ft,F3,201357002,1,131072,131072,73,73,12325,12325,12326,0.0940399169921875,0.0940399169921875,1,7.62939453125e-06,7.62939453125e-06,-140.71768188476562,-1.049041748046875e-05
filter_only_ft,F3,201357002,2,262144,131072,79,152,12306,24631,12311,0.09392547607421875,0.09398269653320312,5,3.814697265625e-05,2.288818359375e-05,-92.23324584960938,-1.52587890625e-05
filter_only_ft,F3,201357002,3,393216,131072,71,223,12491,37122,12492,0.095306396484375,0.09442392985026042,1,7.62939453125e-06,1.7801920572916668e-05,-106.80874633789062,-1.2040138244628906e-05
filter_only_ft,F3,201357002,4,524288,131072,57,280,12029,49151,12030,0.0917816162109375,0.09376335144042969,1,7.62939453125e-06,1.52587890625e-05,-84.73805236816406,-1.0609626770019531e-05
dual_safe_ft,F1,201357000,1,131072,131072,73,73,12082,12082,12083,0.09218597412109375,0.09218597412109375,1,7.62939453125e-06,7.62939453125e-06,-99.5069580078125,-1.239776611328125e-05
dual_safe_ft,F1,201357000,2,262144,131072,59,132,11966,24048,11967,0.09130096435546875,0.09174346923828125,1,7.62939453125e-06,7.62939453125e-06,-103.72944641113281,-1.3276934623718262e-05
dual_safe_ft,F1,201357000,3,393216,131072,72,204,12453,36501,12454,0.0950164794921875,0.09283447265625,1,7.62939453125e-06,7.62939453125e-06,-90.4912338256836,-1.029670238494873e-05
dual_safe_ft,F1,201357000,4,524288,131072,62,266,12080,48581,12080,0.0921630859375,0.0926666259765625,0,0.0,5.7220458984375e-06,-88.81749725341797,-8.225440979003906e-06
dual_safe_ft,F1,201357001,1,131072,131072,63,63,11882,11882,11882,0.0906524658203125,0.0906524658203125,0,0.0,0.0,-113.24590301513672,-6.9141387939453125e-06
dual_safe_ft,F1,201357001,2,262144,131072,72,135,12228,24110,12228,0.093292236328125,0.09197235107421875,0,0.0,0.0,-93.00481414794922,-8.77678394317627e-06
dual_safe_ft,F1,201357001,3,393216,131072,60,195,11901,36011,11902,0.0908050537109375,0.091583251953125,1,7.62939453125e-06,2.5431315104166665e-06,-86.49563598632812,-1.0609626770019531e-05
dual_safe_ft,F1,201357001,4,524288,131072,51,246,12013,48024,12013,0.09165191650390625,0.09160041809082031,0,0.0,1.9073486328125e-06,-87.1987075805664,-7.331371307373047e-06
